Date,CumReturns,SPY_CumReturns
2023-12-06,9.999999999998899e-05,0.0
2023-12-07,0.00030002000000006745,0.0
2023-12-08,0.00229139960861402,0.004299153642212783
2023-12-11,-0.0024412387582531947,0.008205440843897405
2023-12-12,-0.02221409185280987,0.012810149873318855
2023-12-13,-0.020188868787988756,0.026776921457546843
2023-12-14,-0.019424394151700053,0.030072231082454826
2023-12-15,-0.008637875224896674,0.02837623667379474
2023-12-18,-0.0009277599785975088,0.034160926351844534
2023-12-19,0.022357809417756114,0.04044953961399966
2023-12-20,-0.009712236990008893,0.026031748247266506
2023-12-21,0.004269422595000183,0.035760495892102284
2023-12-22,0.004631209323313179,0.03784205603669033
2023-12-26,0.012161967979629873,0.04222437238593746
2023-12-27,0.019226358967932455,0.04410880318791088
2023-12-28,0.01635651594091958,0.04450319561082128
2023-12-29,0.0108182312234133,0.04147938663082629
2024-01-02,0.005652307942200396,0.03565089786206688
2024-01-03,-0.011337865553140536,0.027193059405063558
2024-01-04,-0.006083096167201152,0.023884389163352893
2024-01-05,-0.0004114954327651965,0.025286762492155557
2024-01-08,0.007026516209030831,0.039923683050119285
2024-01-09,0.015556467878076408,0.0383460464896368
2024-01-10,0.02059635559599693,0.04421833434910605
2024-01-11,0.02159481953137221,0.04375820985571055
2024-01-12,0.04045875917389252,0.04448126263104646
2024-01-16,0.043053772231979925,0.040646735825455416
2024-01-17,0.049934920263184024,0.03486211301624631
2024-01-18,0.029549161623279696,0.04406493722836102
2024-01-19,0.02588918818171937,0.057080422135132425
2024-01-22,0.057110961452935705,0.059315446269306626
2024-01-23,0.05135591978511389,0.06240492045094603
2024-01-24,0.04895237079747283,0.06356629847758377
2024-01-25,0.07293149999581616,0.06935092128679288
2024-01-26,0.09072642430076105,0.06799241391754096
2024-01-29,0.13185202418435282,0.0764502523745445
2024-01-30,0.11697887808216012,0.07561766843801387
2024-01-31,0.08913760314062102,0.058066470061249875
2024-02-01,0.09465071431287386,0.07191460577339259
2024-02-02,0.08621921700382851,0.08319905699893582
2024-02-05,0.0604251654079313,0.07925493216330892
2024-02-06,0.06853800174241065,0.08238833917333954
2024-02-07,0.06750149560374163,0.09141590015377421
2024-02-08,0.07672404023535662,0.09189795762694519
2024-02-09,0.08828204222776814,0.09820850386887559
2024-02-12,0.08855617890187184,0.09772644639570482
2024-02-13,0.09600169557661964,0.10371410202520948
2024-02-14,0.11408863915212142,0.11374425778338382
2024-02-15,0.12100180489388901,0.12142880139730705
2024-02-16,0.1156611024896983,0.11584410796698652
2024-02-20,0.1125789548870395,0.10970094519363394
2024-02-21,0.11642422501824368,0.11070614910757515
2024-02-22,0.1298373259414387,0.1336927663550822
2024-02-23,0.13106993579133763,0.13447463706983243
2024-02-26,0.12970183896250065,0.13031958970795987
2024-02-27,0.14261947209012793,0.1324194398915628
2024-02-28,0.1327790000921294,0.13092278022885218
2024-02-29,0.14136441847060022,0.1349883852350049
2024-03-01,0.150214347412166,0.14564395575794697
2024-03-04,0.15168511034926624,0.1444153504722876
2024-03-05,0.14141026904397558,0.13297790923459551
2024-03-06,0.18843897443168856,0.13871899044237157
2024-03-07,0.17140290613477638,0.15002240449153836
2024-03-08,0.15388134864869518,0.14311973159236535
2024-03-11,0.15588102695166328,0.14213682009482675
2024-03-12,0.1606624306227551,0.15442321381405932
2024-03-13,0.17082037068108247,0.1526136422513833
2024-03-14,0.14357437086274105,0.15033518004644963
2024-03-15,0.1532171721419251,0.14243630959062514
2024-03-18,0.14713571866362174,0.14922598598207704
2024-03-19,0.14941210171396158,0.155612399895255
2024-03-20,0.19600514047993012,0.16630100967636152
2024-03-21,0.1975019990372886,0.17015528808919522
2024-03-22,0.17533880634895338,0.16793689996045025
2024-03-25,0.19398482378690685,0.1647101162908151
2024-03-26,0.1912463448669266,0.16255888158816223
2024-03-27,0.2054003609117463,0.17232881608808626
2024-03-28,0.21031017207927016,0.17210478897619463
2024-04-01,0.2308372836677004,0.17006556782948778
2024-04-02,0.2232948829334218,0.16262617178294314
2024-04-03,0.2371064344969318,0.16390331779689027
2024-04-04,0.2255190078764795,0.1496966070394763
2024-04-05,0.2267038169331932,0.16170735973307226
2024-04-08,0.2265476878758812,0.1623571477725092
2024-04-09,0.23650856316810187,0.16370172074992562
2024-04-10,0.21632286873482243,0.15204943878909405
2024-04-11,0.2389466031953551,0.16074382432203604
2024-04-12,0.19002946323330083,0.14472198791415103
2024-04-15,0.15823319368089717,0.13038076515151986
2024-04-16,0.15474949372108826,0.12831918232423045
2024-04-17,0.16848002716628874,0.12164151948872437
2024-04-18,0.17582635628995913,0.11933347948461615
2024-04-19,0.16513558267614759,0.10956354498469212
2024-04-22,0.1945111683249936,0.11978167047708843
2024-04-23,0.21360720253106247,0.13306970595332013
2024-04-24,0.2187988743253808,0.13253193146982922
2024-04-25,0.21346552545732278,0.12822953044886787
2024-04-26,0.22495326845604335,0.138918276998663
2024-04-29,0.19357474746065195,0.14295172239353482
2024-04-30,0.1834059780835311,0.12484594147777761
2024-05-01,0.19169968253520664,0.12119339688059738
2024-05-02,0.23792491953095607,0.13168040961473926
2024-05-03,0.2465478399870218,0.14570795339011555
2024-05-06,0.27516659629516305,0.15753947071732943
2024-05-07,0.27497373969702643,0.15881675349996494
2024-05-08,0.27807866532402103,0.15892876705591075
2024-05-09,0.272674723345679,0.16560636150707264
2024-05-10,0.2241271352214751,0.16710780817028859
2024-05-13,0.2501013884639367,0.16726454508739952
2024-05-14,0.25574364758489443,0.17262013339476057
2024-05-15,0.24726701353461755,0.18714072829246264
